,K,MAE,RMSE,r2
0,10,17578109953.97701,300374135675.59735,-11762814115821.266
1,11,14038093704.076883,239882320454.7486,-7502096535715.589
2,12,27900262187.419823,476759323824.17365,-29633609668425.2
3,13,9104713169.72861,155580841483.75308,-3155719533036.8716
4,14,78616736038.95209,1343402812299.9387,-235287400737185.9
5,15,16081985265.724552,274808521350.4324,-9845699044199.857
6,16,1924343307.3456664,32882652029.44228,-140967773113.5556
7,17,8941192659.463572,152786624626.2186,-3043384601138.889
8,18,8681974095.660986,148357097339.46625,-2869477481982.5654
9,19,477190062.8599933,8153690038.181295,-8667514188.480284
10,20,9100562.601337396,154972338.58255854,-3131081.704571767
11,21,184237019.62672207,3147705973.4363546,-1291738137.3236382
12,22,730349921.3235267,12479698273.065607,-20304595237.834175
13,23,70375831.09316476,1202066839.9253974,-188383732.44464716
14,24,2559237858.73674,43731757509.79101,-249333152623.353
15,25,34892791.139164604,595731437.2941393,-46268688.98713537
16,26,1038444969.7929742,17744442972.512962,-41049786918.06671
17,27,373667027.459301,6384714203.340832,-5314581720.458676
18,28,21508897.546577986,367034328.85542095,-17563032.81623086
19,29,207319029.93963632,3542161818.431964,-1635772717.0104456
20,30,295900403.18205404,5055841092.837424,-3332521780.4168415
21,31,1911537201.4079561,32663855990.51721,-139098059110.16684
22,32,12024845531.853048,205480131490.2242,-5504600886161.778
23,33,2904583730.3323936,49633029304.950356,-321164645601.4009
24,34,2028763804.2410915,34667017344.62774,-156682005315.36154
25,35,25576342871.33263,437048227022.05115,-24902611386218.812
26,36,491150623.8703368,8392272944.8226595,-9182170780.003939
27,37,30039.384770774683,45658.141579828916,0.7282167881503707
28,38,29996.915976718246,45633.93864118959,0.7285048510770524
29,39,1351835048.3854227,23099647364.713272,-69565973330.63295
30,40,1305730687.8865721,22311812153.88807,-64901667560.92598
31,41,74780551.69162372,1277330354.676039,-212712312.7798266
32,42,39542517.16448895,675183192.5891637,-59433239.678570025
33,43,155323498.88830626,2653654464.3990865,-918068126.2495207
34,44,118726807.84997003,2028288125.3611102,-536346512.6106072
35,45,22411887110.66707,382973917583.372,-19121614594659.39
36,46,6238418526.9617,106601623605.61633,-1481541442748.263
37,47,53506254.06830085,913796300.9006006,-108864166.83124563
38,48,689253457.4463981,11777448494.584791,-18083754104.871967
39,49,8382179271.925303,143234195708.53882,-2674727810277.577
