,K,MAE,RMSE,r2
0,5,25414.72540285187,39763.2952657806,0.7938653966356561
1,6,24882.393119843557,39759.834815443566,0.7939012733161073
2,7,25203.8655585784,39747.64487960255,0.7940276292298174
3,8,25072.114396913985,39666.80458681471,0.7948646063247987
4,9,25145.533220895544,39703.849232328575,0.7944812774212406
5,10,25007.575593667505,39517.96076715439,0.7964011984612775
6,11,24778.572406219213,39592.62824564165,0.7956310893363627
7,12,24700.43456565665,39524.37305945386,0.7963351201049158
8,13,24490.056335390236,39361.246774671235,0.7980127955699121
9,14,24469.35488134125,39333.42878556089,0.7982981977247416
10,15,24481.48962590413,39350.664802535226,0.7981213864215373
11,16,23556.020770163508,37556.63235157206,0.8161094332246908
12,17,23444.18341679186,37450.37029633696,0.8171485543837
13,18,23693.69627088095,37717.80365479674,0.8145277431344724
14,19,23505.09841486644,37232.54362911587,0.8192694459597971
15,20,23503.03612851532,37233.68588403833,0.8192583565465283
16,21,24037.68727381094,37592.80094527403,0.8157550741992166
17,22,23675.02394456453,37150.106651878436,0.8200688749126792
18,23,23591.78123551559,37295.81270281597,0.8186546950428031
19,24,23208.12323083747,36608.938355802355,0.825272833079361
20,25,23144.715442530116,36678.30327606642,0.8246100759116926
21,26,23155.453569246667,36649.64636098348,0.8248840346416337
22,27,22613.356899384158,35956.13913350858,0.8314486364117308
23,28,22513.487212134693,35840.99334473425,0.8325264442164623
24,29,22283.378737927484,35666.17845947733,0.8341561686501229
25,30,21859.699120000667,35134.143542798025,0.8390670736624877
26,31,22178.4815569288,35674.986731456265,0.8340742435312528
27,32,22232.048888408615,35724.36324600132,0.8336146214829276
28,33,21498.59834903707,34941.30738837108,0.8408288084456366
29,34,21426.71092813155,34816.73337677464,0.8419617510017277
30,35,21430.530003738284,34863.860866221265,0.8415336242987532
31,36,21490.078229456765,34597.61556084885,0.8439447071527804
32,37,21570.26808148947,34590.023081892214,0.8440131925960672
33,38,21280.164299705404,34072.600465170755,0.8486450157267957
34,39,21281.064096210772,33955.223916684314,0.849686023763651
35,40,21492.267498056743,34404.66356359908,0.8456805039379774
36,41,21439.146012127745,34345.23773705972,0.8462131435674971
37,42,21468.648702275408,34275.485633268065,0.8468371639402292
38,43,21509.539818406207,34385.82204360411,0.8458494820589885
39,44,21080.67459804535,33858.034644262494,0.8505452729118705
40,45,21054.711463154774,33820.890259331514,0.8508730154316057
41,46,21115.316687141985,33805.85402822817,0.8510055849375703
42,47,20763.959134044544,33498.513529962824,0.8537023878246999
43,48,21096.878818841404,33748.590743458764,0.8515099167357114
44,49,20630.281398012183,33505.295085025326,0.853643147838649
45,50,20567.28992342652,33376.58908597763,0.8547654077644857
46,51,20262.115557767695,33076.92789294793,0.8573615868109863
47,52,20634.475440422502,33401.212846395334,0.8545510334925723
48,53,20232.98219979801,33171.012154878445,0.8565489892270692
49,54,20360.717081093397,33234.770744744026,0.8559969997859119
50,55,20268.765202748116,33168.51062903593,0.8565706245560163
51,56,20587.665612158027,33352.144957799006,0.8549780617878094
52,57,20857.41157844527,33544.393529303146,0.8533013711731825
53,58,20271.97396309346,32512.35756349138,0.8621892516975547
54,59,20248.043485978815,33160.9616376029,0.8566359047806604
55,60,20323.185421060138,33222.168828547816,0.8561061848141021
56,61,20241.06089769219,33149.25581314699,0.8567371020106275
57,62,20372.127007540123,32591.60693901829,0.8615166012271854
58,63,20322.940978674156,33230.47458256239,0.8560342270779012
59,64,20099.853482318824,32256.051577015165,0.8643535052832363
60,65,20100.199602644454,32284.045041065114,0.8641179610800751
61,66,20136.504028407224,32228.56415751338,0.864584592675901
62,67,20166.46889683129,32446.61415627141,0.8627460238627803
63,68,20105.796291052153,32392.8242558529,0.8632007251155266
64,69,19978.556984881925,31536.92738536028,0.8703343557960332
65,70,19994.616665615496,31524.67891311907,0.8704350566415213
66,71,19850.24184566127,31981.893482597086,0.8666495422614778
67,72,19695.385314426218,31311.867249372226,0.8721784440245006
68,73,19861.885290931375,31501.751786955476,0.8706234469249682
69,74,19716.34633565023,31354.13389258574,0.8718331286571563
70,75,19995.135583959283,32213.62089968663,0.8647101383385256
71,76,19942.981849839387,31394.394354060583,0.8715037704739659
72,77,19718.5813512296,31438.11671122552,0.8711456128915945
73,78,19817.269120542358,31474.644838831748,0.8708460056363245
74,79,19784.805501484658,31594.630859607525,0.8698594202917306
75,80,19798.650925047477,31674.68920499162,0.8691990524089145
76,81,19827.717931809966,31411.175649100293,0.8713663631757766
77,82,20187.31109573631,32412.38523498362,0.8630354579135626
78,83,19948.931396686166,32357.730087154825,0.863496979383732
79,84,19851.4118045031,31267.14420493473,0.8725433208021667
80,85,19461.310616575025,30830.17559243556,0.8760809251932744
81,86,19485.4735371197,31267.18804489492,0.8725429633854724
82,87,19781.271048109506,31601.629298414296,0.8698017597506289
83,88,20062.738424514642,31672.043415317505,0.8692209031264105
84,89,19184.77733164071,31125.886083385838,0.8736923621881787
85,90,20130.658284989444,31384.558147977932,0.8715842764000222
86,91,19962.24387215387,31446.318870733416,0.8710783682715777
87,92,20144.388367535743,32069.036272659774,0.8659218578613342
88,93,19442.965584492165,31191.650897235413,0.8731580562006114
89,94,19176.50516020243,31596.286254312872,0.869845782552371
90,95,20246.1496149733,31731.47834251013,0.868729609327732
91,96,19331.90684429541,31123.576056788723,0.8737111094890517
92,97,19391.489857659035,31338.803438158553,0.8719584311791997
93,98,19537.238106991197,31296.45620301716,0.8723042352553917
94,99,19272.598449934205,31039.199267799006,0.8743949259572044
95,100,19153.088092367485,31087.142634303123,0.8740066053175187
96,101,20202.674322894985,31847.37009118589,0.8677689899583931
97,102,19777.649953086624,31087.67864956686,0.8740022604366977
98,103,18754.537327859747,30412.963097883763,0.8794121267584996
99,104,18761.01463042925,30812.441069081506,0.8762234487829184
100,105,19888.223424731204,31627.70379315322,0.8695868180560374
101,106,19185.885457933324,30749.035692764883,0.8767323356927129
102,107,19278.53568298071,30878.23739343316,0.8756942640025123
103,108,19044.520253903167,30618.691706356945,0.8777751745511831
104,109,19538.190783670645,31301.520247642828,0.8722629072938864
105,110,19016.707898206354,30797.47354442681,0.8763436715597656
106,111,18736.22046903709,30993.563939866075,0.8747639957223097
107,112,19662.203602331192,31797.445543965943,0.8681832407369982
108,113,19326.924768335226,31296.85207058231,0.8723010047981892
109,114,19779.283984372927,31692.288678328427,0.8690536576228822
110,115,18880.846074206824,30527.2371884725,0.8785042271751033
111,116,19447.968401239086,31162.252356005672,0.8733970439237031
112,117,19229.22202092734,31172.86203325707,0.873310821326745
113,118,18973.988526821282,31128.91282069218,0.873667796228759
114,119,19716.782949803517,31749.382538856506,0.8685814313015625
