,K,MAE,RMSE,r2
0,5,25284.80968863046,39979.430124584236,0.7916184018889771
1,6,25289.04283990596,39899.06038932873,0.7924553693088501
2,7,25255.46049736176,39916.48163833527,0.792274088044573
3,8,23884.716161235876,37839.38576355876,0.8133300884098262
4,9,23899.953807584676,37778.205723380386,0.8139332292881148
5,10,23536.24183282186,37491.46188173208,0.8167470748881178
6,11,23304.774057428265,37411.92029401756,0.8175238259391832
7,12,22707.932170734002,36213.093272960614,0.8290309839538024
8,13,22732.894229451264,36237.043466547126,0.8288047621799939
9,14,22638.80448393243,35742.45914251318,0.8334460163692674
10,15,22474.945950688045,35694.49500330211,0.8338927264466373
11,16,22504.777206948103,35593.65222435301,0.8348299610150749
12,17,22449.390799365898,35633.16590831862,0.8344630360753074
13,18,22252.711091178997,35245.33649799148,0.8380468168755754
14,19,22600.308590852477,34945.19708716123,0.8407933683033841
15,20,22432.85848266165,34880.99123929455,0.8413778609968757
16,21,22398.287028405237,34836.5610632579,0.8417816982050957
17,22,22188.649724810562,34743.41401296604,0.8426266648026909
18,23,21729.59368084995,34428.828245079494,0.8454636501354387
19,24,21729.033625655993,34304.2315002399,0.846580149652644
20,25,21729.04240770899,34349.08498182938,0.8461786882044986
21,26,21841.999158397597,34428.83096153717,0.845463625749394
22,27,21941.609244985608,34535.86188962256,0.8445012996524848
23,28,21460.48635459196,33697.78700627026,0.8519566419409972
24,29,21406.417522802665,33446.595021501504,0.8541555224230064
25,30,21389.669392382453,33409.695463370874,0.8544771472809991
26,31,21361.537302692523,33392.633538106646,0.8546257428314507
27,32,21362.866210157943,33397.459373363774,0.8545837214132616
28,33,20981.217892946715,32580.467416696578,0.8616112498454356
29,34,20992.186392428248,32595.047693900575,0.8614873597980559
30,35,20970.054098245604,32594.22025418726,0.8614943921181587
31,36,20947.72858588797,32605.72288944614,0.8613966164636919
32,37,20943.9436891817,32611.74671870613,0.8613453984462209
33,38,20766.405012329305,32703.39694858214,0.8605649690655406
34,39,20939.79947982571,32705.14782424543,0.8605500385102917
35,40,20960.970745205053,32731.66527290338,0.8603238137990117
36,41,20483.40146221564,32400.64178109546,0.8631346882166236
37,42,20652.448810972037,32477.78098311731,0.8624822166495372
38,43,20652.447906225396,32477.77947744364,0.8624822294002175
39,44,20532.479126433434,32576.88582472049,0.8616416745036898
40,45,20518.68396216398,32593.319683411075,0.8615020457683235
41,46,20525.486306386185,32622.303634501553,0.8612556147319471
42,47,20451.115390280855,32584.777896285657,0.8615746290483206
43,48,20499.159368822486,32741.235439195054,0.8602421241119648
44,49,20536.275016557654,32704.323776568388,0.8605570656590299
45,50,20026.469630265707,32073.471108578946,0.8658847718902821
46,51,19911.27085558606,32005.8819784507,0.8664494242423914
47,52,19912.41284793008,32003.627015132806,0.8664682420984875
48,53,19568.186101463063,30673.601376286286,0.8773364005679819
49,54,19584.69281593017,30689.85982850093,0.8772063311452776
50,55,19538.399012208723,30794.366446157026,0.8763686212026227
51,56,19087.200739437558,30139.43375576785,0.8815714687248689
52,57,18979.346464269576,29815.496719082497,0.8841035152099976
53,58,18957.718048389987,29751.3604054113,0.8846015903282846
54,59,18942.97488257564,29725.47612924338,0.8848023008092827
55,60,18972.843168651245,29745.081229214582,0.8846502960325806
56,61,18973.005055283942,29744.862054823574,0.8846519959175319
