,K,MAE,RMSE,r2
0,5,25284.80968863046,39979.430124584236,0.7916184018889771
1,6,25289.04283990596,39899.06038932873,0.7924553693088501
2,7,25218.78292926449,39868.538789850005,0.7927727788489092
3,8,25222.58840229982,39862.75261104389,0.7928329248578305
4,9,23801.79192959678,37769.94048729714,0.814014636942394
5,10,23805.700145862913,37740.18910775968,0.814307522859345
6,11,23447.474553104246,37513.83125096537,0.8165283330704668
7,12,23483.83587779677,37572.3009860149,0.8159559628557976
8,13,23460.370128460036,37490.664302064186,0.8167548717167903
9,14,23333.510163744984,37401.63478312079,0.8176241470487666
10,15,22792.25190184248,36262.41121724982,0.828564987750221
11,16,22789.09234294703,36239.48403532444,0.8287817013680634
12,17,22574.172279852268,35709.4138904604,0.83375384488793
13,18,22457.323010241988,35665.89516155988,0.83415880324836
14,19,22369.430298348314,35535.23127500955,0.8353717133196743
15,20,22324.777604933628,35441.757305485575,0.8362366701270212
16,21,22351.738319602446,35463.1152910041,0.8360392358587511
17,22,22230.561784815105,35276.72273564809,0.8377582473869575
18,23,22532.029994659628,34935.41372984712,0.840882499712725
19,24,22397.569576799193,34871.728082137204,0.8414620986660144
20,25,22345.208440566206,34814.68437447967,0.8419803518970377
21,26,22249.822910316947,34889.79256707338,0.8412978024020938
22,27,22089.75301918297,34802.119002165266,0.8420943967277448
23,28,21614.647815099594,34505.24779127292,0.8447768591612783
24,29,21635.182551280992,34408.090807710854,0.8456497571221493
25,30,21784.906968499567,34470.42064169583,0.8450900434844488
26,31,21784.778546008696,34496.81769855188,0.8448526960675988
27,32,22000.549691664164,34539.14918331672,0.8444716959769447
28,33,22007.37628905372,34546.15385009826,0.8444086061533598
29,34,22245.00111589134,34773.80306371804,0.8423512446731138
30,35,21741.022501481253,33895.397383662734,0.8502152408172825
31,36,21665.64758729848,33639.69394478295,0.8524666385585628
32,37,21664.974938641393,33637.35351504611,0.8524871666558338
33,38,21650.71228752451,33617.47938684699,0.8526614266722918
34,39,21650.61002120389,33613.445888802824,0.852696780554028
35,40,21675.52002150227,33637.76287140428,0.8524835762613844
36,41,21179.405558280625,32767.31984854305,0.8600193497571635
37,42,21194.512082653753,32784.08674986397,0.8598760580722736
38,43,21181.45039330835,32793.79271389034,0.859793076394336
39,44,20551.634281347175,32321.221998876532,0.8638048287279088
40,45,20543.92692947712,32323.593535240405,0.8637848416339269
41,46,20536.816393165944,32326.874802913906,0.8637571849885504
42,47,20498.502327785074,32268.240074547037,0.8642509732463584
43,48,20319.369882941286,32399.662859919674,0.863142958319967
44,49,20214.20252295204,32359.364429770998,0.8634831898912506
45,50,20335.89700821093,32389.774070502037,0.8632264865925574
46,51,20335.897008210854,32389.774070501022,0.8632264865925661
47,52,20423.867729519636,32465.262690176234,0.862588206411019
48,53,20441.04018286502,32485.861100088627,0.8624137822944998
49,54,20697.52616189265,32637.52670261778,0.8611260954891352
50,55,20686.338131443143,32701.603945812552,0.8605802580303878
51,56,20700.206369262585,32709.005621451393,0.8605171384051883
52,57,20549.48936696432,32616.486093666295,0.8613050949382688
53,58,20549.489366965256,32616.486093665066,0.8613050949382793
54,59,20549.48936696966,32616.486093670937,0.8613050949382294
55,60,20549.489366964193,32616.486093663603,0.8613050949382918
56,61,20481.40667568047,32698.792818242448,0.8606042268751897
