,K,MAE,RMSE,r2
0,5,26611.863253606803,40666.36143473602,0.7843960077224601
1,6,25919.534274152407,39687.17726110114,0.7946538391707233
2,7,24340.95392504351,37910.70961221287,0.8126257131078928
3,8,24421.7212859316,37838.30611173088,0.813340740571958
4,9,24246.57590221073,37434.03701202804,0.817308014135715
5,10,24236.889229448003,37416.12042408644,0.8174828514753434
6,11,23986.848824923556,37342.80716705879,0.8181974000258947
7,12,23973.62274083994,37345.18409947711,0.8181742552074208
8,13,23754.58154997907,37297.39493303649,0.8186393080013423
9,14,23768.237528206148,37328.353746107416,0.8183381050875118
10,15,23776.243663539968,37314.54940233965,0.8184724404817378
11,16,23576.43091300681,36589.284705812825,0.8254603886300702
12,17,23395.152618304775,36517.59599072378,0.8261436631349266
13,18,23402.889523542875,36426.18993515408,0.827012922612256
14,19,23490.81675945071,36500.16975135412,0.8263095524373747
15,20,23473.19665649392,36454.438174734336,0.8267445181939825
16,21,22975.997184125514,35807.238275847056,0.8328417490586125
17,22,22980.485990240453,35812.838554273076,0.8327894576227195
18,23,23076.41731230891,35915.63564791619,0.8318281583923777
19,24,22914.736343795867,35681.747745620625,0.8340113460899328
20,25,22874.85950114507,35640.90203475972,0.834391150579608
21,26,22878.142709875487,35647.82438547732,0.8343268136070775
22,27,22723.505512659918,35516.245496170224,0.8355475816709996
23,28,22713.660367905002,35532.51151788586,0.8353969126390389
24,29,22432.642007727623,35516.07730346139,0.8355491392473613
25,30,22493.054060341823,35425.89524803387,0.8363832227958266
26,31,22550.822906837697,35403.63495495972,0.8365887793859942
27,32,22542.019192336702,35403.09794443485,0.8365937366667893
28,33,22509.67661941363,35331.47112878617,0.8372542681490421
29,34,22469.460107053135,35472.37416083339,0.8359536094531236
30,35,22383.956235453603,35598.29438417923,0.8347868749212675
31,36,22332.18825654103,35537.03629267711,0.8353549882554243
32,37,21964.60113308782,35161.68600703316,0.8388146567092893
33,38,21940.251053178592,35077.66825232111,0.8395840311371676
34,39,22247.019142833447,35211.008726146596,0.8383621371473016
35,40,22238.530825962953,35191.97275084599,0.8385368610612896
36,41,22235.73756792255,35291.1150811671,0.8376258362382063
37,42,22155.911501694227,35138.6110729852,0.8390261437666655
38,43,22179.63346143291,34710.35733135152,0.8429259886051264
39,44,22165.356010674383,34722.21694293351,0.8428186341928383
40,45,22168.388127560025,34724.72769910079,0.8427959018683127
41,46,21819.902474678496,34515.45851097899,0.8446849789638876
42,47,21694.99463664118,34492.37677227743,0.8448926390789002
43,48,21700.344287259097,34459.90920321444,0.8451845058191783
44,49,21894.724960639443,34620.45478828085,0.8437386028479039
45,50,21916.469017720592,34575.085087314874,0.8441478919534172
46,51,21913.64411975694,34564.51913536609,0.8442431324576986
47,52,21896.616699615384,34526.21255359607,0.8445881803333044
48,53,21896.80744383933,34525.68098268247,0.8445929657853362
49,54,21484.4891717292,34171.90495067119,0.8477614828345177
50,55,21474.72630484664,34222.98888564873,0.8473059767432308
51,56,21234.824116998778,33926.43594765683,0.8499407945607362
52,57,21233.502975619027,33925.28481996296,0.8499509774385882
53,58,21230.25476913075,33895.81980899418,0.8502115073740601
54,59,21211.697282283803,34256.82211896764,0.847003917435612
55,60,21275.521238778034,34244.99526834008,0.8471095401614352
56,61,21314.184932769524,34308.451597981824,0.8465423999896976
57,62,21188.182765532765,34135.11910098749,0.8480890741065487
58,63,21188.182765537662,34135.119100993434,0.8480890741064957
59,64,21188.182765537505,34135.11910099218,0.8480890741065069
60,65,21086.121508446868,34100.22139151085,0.8483995246694355
61,66,21095.22345077991,34102.59793188361,0.8483783930057645
62,67,21076.901370240976,34132.534449317915,0.8481120780962045
63,68,21036.481623700303,34075.70383741079,0.8486174432937511
64,69,21220.38534056382,34269.342944512886,0.8468920572441587
65,70,21236.455697454498,34258.75199182515,0.8469866787493787
66,71,21236.455697454538,34258.75199182519,0.8469866787493783
67,72,21257.991669655516,34252.715641080176,0.8470405955239088
68,73,21316.399454895643,34203.95416559229,0.8474757853889281
69,74,21303.020480998377,34193.88573478321,0.8475655676093873
70,75,21303.020480998377,34193.88573478321,0.8475655676093873
71,76,21303.020480998377,34193.88573478321,0.8475655676093873
