,K,MAE,RMSE,r2
0,5,26570.980030478397,40663.50521997678,0.7844262926880836
1,6,26282.8448128598,39833.50769649372,0.7931367855098689
2,7,24454.652808520324,37911.27568435193,0.8126201174249654
3,8,24530.829045922215,37826.78741256767,0.8134543685228327
4,9,24315.356368685843,37396.015585319554,0.8176789429963098
5,10,24315.356830879155,37396.01775805851,0.8176789218103054
6,11,24190.02266617754,37355.508438773,0.8180737072939983
7,12,24113.276838752347,37376.68235673662,0.8178674092521154
8,13,24001.69507037574,37340.84899762909,0.8182164661318789
9,14,23755.449830588495,37299.95180696119,0.8186144412609224
10,15,23759.345714466042,37284.65316023883,0.8187632020165276
11,16,23566.509620243593,36562.84617110955,0.825712533727758
12,17,23386.242946160637,36493.602917134085,0.82637204495611
13,18,23379.432981007812,36397.38001321677,0.8272864496186358
14,19,23468.46562104019,36476.51920962506,0.8265345674081725
15,20,23452.22135008731,36430.63989176956,0.8269706545622261
16,21,22965.003053783465,35797.14303735734,0.8329359905923804
17,22,22971.286807591936,35804.067210766465,0.8328713545935102
18,23,23068.19605721887,35906.90508877711,0.8319099086233956
19,24,22914.945001314776,35681.98158941622,0.8340091704373093
20,25,22875.59016407851,35641.73409043726,0.8343834180372759
21,26,22878.32815557125,35648.038851994206,0.8343248201357382
22,27,22710.24796126055,35498.5147932511,0.8357117391766328
23,28,22701.088015231475,35517.99640688246,0.8355313666350644
24,29,22420.40412037558,35500.171163531115,0.8356964073497767
25,30,22475.739851059305,35406.922631941066,0.836558428363896
26,31,22530.300143017823,35385.128375600245,0.8367595749729027
27,32,22523.741479699307,35384.19382327737,0.8367681975050693
28,33,22497.4699099567,35315.210246210096,0.837404037188741
29,34,22474.21349165808,35477.060644400495,0.8359102601415913
30,35,22390.274146633576,35603.97789086135,0.8347341159408374
31,36,22340.678929382055,35543.69779683459,0.8352932562517438
32,37,21971.139729088918,35168.991045325674,0.8387476754264692
33,38,21949.50886607885,35088.83532293454,0.8394818771636655
34,39,22249.863332261062,35216.89384472163,0.8383081007808648
35,40,22242.57043293382,35198.28843453384,0.8384789022975625
36,41,22241.887200206093,35301.868137385136,0.8375268716965892
37,42,22159.638323145777,35144.43132526958,0.838972812913841
38,43,22177.851867886726,34707.85360240369,0.842948647926194
39,44,22164.760295104355,34721.51951724606,0.8428249483761379
40,45,22167.80903126496,34724.048495636074,0.8428020515219439
41,46,21811.619156450328,34503.38034992746,0.844793660215354
42,47,21686.4307159765,34485.006241330826,0.8449589204758559
43,48,21693.1246600308,34452.88683969655,0.8452475971000151
44,49,21896.83306122037,34621.50124010614,0.8437291562651491
45,50,21920.4809864498,34578.50308854542,0.8441170761780386
46,51,21917.490575689808,34567.79911541794,0.8442135701393987
47,52,21904.352091708337,34532.80742008918,0.8445288041080214
48,53,21904.64606856405,34532.23183798614,0.8445339867559909
49,54,21506.54895292586,34184.271433298076,0.8476512755962778
50,55,21508.451240768198,34241.65714387302,0.8471393455391869
51,56,21251.03155043543,33945.33416667058,0.8497735714802799
52,57,21250.30035165027,33944.360813344625,0.8497821865845951
53,58,21245.636808612715,33915.15554135524,0.8500405661604663
54,59,21235.431158318228,34275.85114525171,0.8468338972818876
55,60,21299.696030544288,34270.201372728705,0.8468843866083667
56,61,21337.8857712783,34334.70921910916,0.8463074157059747
57,62,21208.56756961951,34158.28416468806,0.8478828219871152
58,63,21208.567569617997,34158.28416468718,0.8478828219871231
59,64,21208.567569617077,34158.284164685785,0.8478828219871355
60,65,21108.298934536302,34128.074382969986,0.8481517696081583
61,66,21119.58422887497,34130.512858374415,0.8481300695028912
62,67,21105.931608452553,34160.45780349183,0.8478634616281742
63,68,21059.619319527643,34106.33458278282,0.8483451645664346
64,69,21257.707743201903,34307.159647201115,0.8465539572546852
65,70,21275.82935382393,34295.60313812354,0.8466573177154348
66,71,21275.829353823636,34295.603138124236,0.8466573177154286
67,72,21300.185333459267,34289.230416181665,0.846714299916956
68,73,21370.293028319036,34246.20462491081,0.847098741366131
69,74,21361.353259017316,34238.70029895388,0.8471657441292203
70,75,21361.353259017316,34238.70029895388,0.8471657441292203
71,76,21361.353259017316,34238.70029895388,0.8471657441292203
72,77,21361.353259017316,34238.70029895388,0.8471657441292203
