,K,MAE,RMSE,r2
0,5,25057.704226075097,40037.90120110765,0.7910084278961163
1,6,24837.372581082487,39722.402337353,0.7942891599614007
2,7,25227.31356962307,39728.21707356945,0.7942289298770953
3,8,24846.56645395337,38875.90054957056,0.8029633156769822
4,9,24875.144033006738,38914.602495831736,0.8025708103535877
5,10,24276.600384393143,37928.17078650169,0.8124530690934478
6,11,24348.212783326166,37882.20538087749,0.8129073724173133
7,12,23940.01287641732,37421.980738251805,0.8174256733615964
8,13,23773.51209058267,37327.60834026963,0.818345360188333
9,14,23476.88013217306,37097.50423362208,0.8205780584567473
10,15,23391.17280416914,37025.05414066084,0.8212781833405768
11,16,23310.09973262373,36979.988947526785,0.8217129825224601
12,17,23169.4757694512,36941.13394189309,0.8220874393015768
13,18,23170.501456819104,36940.055121012134,0.8220978305896809
14,19,23060.839838485725,36832.67052920817,0.8231306489883028
15,20,23087.45894176991,36844.68645154868,0.823015229985796
16,21,23201.47218933644,36927.40158735966,0.8222196877733305
17,22,23405.08936859978,37238.6384886591,0.8192102709804332
18,23,23394.70990058132,37232.94004438454,0.8192655974592354
19,24,23496.719831823637,37118.102177004905,0.8203787593894487
20,25,23656.80724264993,36960.110024698035,0.8219046105551822
21,26,23515.039777591985,36997.30145782067,0.8215460101451373
22,27,22977.210531080902,36213.60330964696,0.8290261679562385
23,28,22788.631832289026,35973.75291469737,0.8312834599452745
24,29,22780.668926310555,35936.109483841676,0.8316363698294076
25,30,22820.05903423457,35964.64204666951,0.8313689088825067
26,31,22821.23038445297,36002.42906495282,0.8310143710234332
27,32,22184.592081677838,35414.12583628302,0.8364919203080392
28,33,22552.49405368688,35766.776191889294,0.833219312372657
29,34,21919.79513348498,35228.187914446826,0.8382043748579125
30,35,21923.695415925387,34743.71141844192,0.8426239705428838
31,36,21835.014443936845,34656.068803075905,0.8434169457150141
32,37,21762.11821006271,34625.519240040485,0.8436928821203178
33,38,21546.843039233157,34345.70604259286,0.8462089496977476
34,39,21458.854041955758,34342.19064162839,0.8462404301709021
35,40,21757.21015499756,34511.524183261754,0.844720384859793
36,41,21755.562647050374,34653.24074140282,0.8434425001694945
37,42,21409.809905949613,34208.864443055914,0.8474319898693683
38,43,21401.416539284426,34040.74484198469,0.848927897184955
39,44,21464.601416339352,34314.910489272195,0.8464846148546552
40,45,21378.104274104266,34061.19361667554,0.848746340213591
41,46,21385.539855295465,34053.92995792317,0.8488108439908955
42,47,21475.515225312003,34211.15855117068,0.8474115262116667
43,48,21473.474638234627,34168.00147057682,0.8477962614680674
44,49,21426.56110463885,34166.197227065946,0.8478123353000324
45,50,21416.866725024065,34142.04190964454,0.8480274509488686
46,51,21444.256009279892,34162.278115977664,0.8478472473595887
47,52,21300.6809119699,33918.27326626865,0.8500129941947842
48,53,21574.159843112237,34279.10363097728,0.846804827591003
49,54,21702.64302241038,34417.61209864422,0.8455643227451275
50,55,21233.354186895052,33978.67085567439,0.8494783609025078
51,56,21554.34100887831,34278.62396647423,0.846809114854341
52,57,21486.08693724208,34340.32468606119,0.8462571385244171
53,58,21214.44053814661,33845.400798057904,0.8506567876985687
54,59,21244.400067310533,33963.347393472766,0.8496140926719817
55,60,21456.44972585261,34194.99845475094,0.8475556465610573
56,61,21213.589595535785,33912.79638195328,0.8500614279786176
57,62,21244.208415079614,34209.03359682674,0.8474304810488654
58,63,21074.301502917904,34023.936606700525,0.8490770495351196
59,64,21355.75076682577,34350.506803685355,0.8461659535986346
60,65,21362.75524280754,34228.85137503309,0.8472536584746164
61,66,21220.066895552223,34205.92245966078,0.8474582306264903
62,67,21330.25774899325,33788.15114683215,0.8511615898615297
63,68,21129.680598911076,34215.18892864924,0.8473755715465882
64,69,21311.01114365915,33902.67412469534,0.8501509216481168
65,70,21181.328729490488,34064.49012223513,0.848717061576786
66,71,21267.199973904815,34556.009066673316,0.8443198202578248
67,72,21398.29730453703,34372.416293348324,0.8459696537109201
68,73,21423.625831462276,34363.628739187065,0.8460484015636501
69,74,21303.020480998377,34193.88573478321,0.8475655676093873
70,75,21303.020480998377,34193.88573478321,0.8475655676093873
71,76,21303.020480998377,34193.88573478321,0.8475655676093873
72,77,21303.020480998377,34193.88573478321,0.8475655676093873
73,78,21303.020480998377,34193.88573478321,0.8475655676093873
74,79,21303.020480998377,34193.88573478321,0.8475655676093873
75,80,21303.020480998377,34193.88573478321,0.8475655676093873
76,81,21303.020480998377,34193.88573478321,0.8475655676093873
77,82,21303.020480998377,34193.88573478321,0.8475655676093873
78,83,21303.020480998377,34193.88573478321,0.8475655676093873
79,84,21303.020480998377,34193.88573478321,0.8475655676093873
80,85,21303.020480998377,34193.88573478321,0.8475655676093873
81,86,21303.020480998377,34193.88573478321,0.8475655676093873
82,87,21303.020480998377,34193.88573478321,0.8475655676093873
83,88,21303.020480998377,34193.88573478321,0.8475655676093873
84,89,21303.020480998377,34193.88573478321,0.8475655676093873
85,90,21303.020480998377,34193.88573478321,0.8475655676093873
86,91,21303.020480998377,34193.88573478321,0.8475655676093873
87,92,21303.020480998377,34193.88573478321,0.8475655676093873
88,93,21303.020480998377,34193.88573478321,0.8475655676093873
89,94,21303.020480998377,34193.88573478321,0.8475655676093873
90,95,21303.020480998377,34193.88573478321,0.8475655676093873
91,96,21303.020480998377,34193.88573478321,0.8475655676093873
92,97,21303.020480998377,34193.88573478321,0.8475655676093873
93,98,21303.020480998377,34193.88573478321,0.8475655676093873
94,99,21303.020480998377,34193.88573478321,0.8475655676093873
95,100,21303.020480998377,34193.88573478321,0.8475655676093873
96,101,21303.020480998377,34193.88573478321,0.8475655676093873
97,102,21303.020480998377,34193.88573478321,0.8475655676093873
98,103,21303.020480998377,34193.88573478321,0.8475655676093873
99,104,21303.020480998377,34193.88573478321,0.8475655676093873
100,105,21303.020480998377,34193.88573478321,0.8475655676093873
101,106,21303.020480998377,34193.88573478321,0.8475655676093873
102,107,21303.020480998377,34193.88573478321,0.8475655676093873
103,108,21303.020480998377,34193.88573478321,0.8475655676093873
104,109,21303.020480998377,34193.88573478321,0.8475655676093873
105,110,21303.020480998377,34193.88573478321,0.8475655676093873
106,111,21303.020480998377,34193.88573478321,0.8475655676093873
107,112,21303.020480998377,34193.88573478321,0.8475655676093873
108,113,21303.020480998377,34193.88573478321,0.8475655676093873
109,114,21303.020480998377,34193.88573478321,0.8475655676093873
110,115,21303.020480998377,34193.88573478321,0.8475655676093873
111,116,21303.020480998377,34193.88573478321,0.8475655676093873
112,117,21303.020480998377,34193.88573478321,0.8475655676093873
113,118,21303.020480998377,34193.88573478321,0.8475655676093873
114,119,21303.020480998377,34193.88573478321,0.8475655676093873
