,K,MAE,RMSE,r2
0,5,28237.92327407234,43241.28796514802,0.7562282314495521
1,6,25252.738819873273,40271.318884475484,0.7885645172202066
2,7,25425.05601991476,40191.04155248375,0.7894066331155624
3,8,25199.3598184348,39699.371076326286,0.7945276352941683
4,9,24428.068886821202,38137.08274223092,0.8103813265823095
5,10,24123.060689869944,37782.31162174419,0.8138927820116685
6,11,23899.117654712612,37426.77179437426,0.8173789211682225
7,12,23926.875018071525,37393.73163886008,0.8177012126852075
8,13,23770.1796265244,37302.378237351484,0.8185908415656921
9,14,23658.455555544446,37255.872767633526,0.819042890981933
10,15,23387.780908850305,37005.91024768254,0.8214629526477808
11,16,23308.237390298083,36969.15251924971,0.8218174558585362
12,17,23166.84715970593,36929.73768419117,0.8221971936284433
13,18,23168.099894388797,36928.57767737549,0.8222083634466361
14,19,23057.758927007457,36822.33050998834,0.8232299399579187
15,20,23314.60746862497,37025.50912397176,0.821273790858492
16,21,23362.186894166065,37220.888951873494,0.8193825742287755
17,22,23400.848924600014,37230.43222115817,0.8192899433565854
18,23,23571.942158548492,37037.31919785043,0.8211597556205481
19,24,23567.879253789044,37035.1820266961,0.8211803943272562
20,25,23411.932073265743,37124.57037986134,0.820316152317242
21,26,23508.839691047902,36985.2455036026,0.8216622933611323
22,27,22994.044003946976,36225.364808162965,0.8289150917395295
23,28,22975.393098177396,36188.485821858434,0.8292632580799832
24,29,22799.29237684614,35951.09710942754,0.8314959040255121
25,30,22845.510478194294,35982.03889528788,0.8312057286626396
26,31,22845.25189327652,36019.86448604115,0.8308506571236735
27,32,22121.6853941222,35323.280391509354,0.8373297166360334
28,33,22090.9994215952,35362.419372016215,0.8369690323378133
29,34,21948.584895409604,35256.21564618784,0.8379468215412007
30,35,21944.377182604116,35268.58988441142,0.8378330466220206
31,36,21513.37110348192,34360.07970372597,0.8460801998042586
32,37,21722.96271364116,34640.40432788015,0.84355846419222
33,38,21549.09741858637,34481.25552931169,0.8449926442810698
34,39,21875.481172716507,34700.59382148248,0.8430143413672248
35,40,21533.74176211088,34222.4500504419,0.8473107849888322
36,41,21310.425492844402,34034.51010996932,0.8489832313337303
37,42,21434.618127093516,34197.83774823203,0.847530329862818
38,43,21408.77625187497,34075.715173973884,0.8486173425675445
39,44,21424.24313601405,34101.71199726386,0.8483862707097564
40,45,21414.572474289973,34084.90088466965,0.8485357158305521
41,46,21401.931510299688,34083.279419536906,0.848550126212137
42,47,21517.83864929594,34244.928509752885,0.8471101362626211
43,48,21493.89386161757,34201.48111499674,0.8474978405268571
44,49,21479.13964227097,34197.70301563751,0.8475315312600482
45,50,21707.40347982724,34481.96287120493,0.8449862846332334
46,51,21459.51631640258,34177.46990269699,0.8477118942014168
47,52,21669.869974703346,34405.293861899176,0.8456748495762171
