,K,MAE,RMSE,r2
0,5,26105.779264311033,41172.81659330238,0.7789923426415286
1,6,25584.841315975955,40246.11403353319,0.7888290991741074
2,7,25425.05601991476,40191.04155248375,0.7894066331155624
3,8,24869.166112115225,39009.075420255656,0.801611049642537
4,9,24225.057058917748,38259.9367855703,0.8091576911730002
5,10,24123.060689869944,37782.31162174419,0.8138927820116685
6,11,23899.117654712612,37426.77179437426,0.8173789211682225
7,12,23926.875018071525,37393.73163886008,0.8177012126852075
8,13,23770.1796265244,37302.378237351484,0.8185908415656921
9,14,23658.455555544446,37255.872767633526,0.819042890981933
10,15,23384.694808912787,37045.48767487502,0.8210808614914705
11,16,23308.237390298083,36969.15251924971,0.8218174558585362
12,17,23166.84715970593,36929.73768419117,0.8221971936284433
13,18,23168.099894388797,36928.57767737549,0.8222083634466361
14,19,23080.54688379991,36833.55283368382,0.8231221752889031
15,20,23314.60746862497,37025.50912397176,0.821273790858492
16,21,23512.706846091474,37328.2877806134,0.8183387471413316
17,22,23400.848924600014,37230.43222115817,0.8192899433565854
18,23,23390.28296819458,37224.69266671477,0.8193456566641217
19,24,23494.792981936902,37112.51201828527,0.8204328589028199
20,25,23651.505631078857,36950.681085481854,0.8219954672329782
21,26,23508.839691047902,36985.2455036026,0.8216622933611323
22,27,22994.044003946976,36225.364808162965,0.8289150917395295
23,28,22975.393098177396,36188.485821858434,0.8292632580799832
24,29,22799.29237684614,35951.09710942754,0.8314959040255121
25,30,22800.624839218515,35986.76714586305,0.8311613646369951
26,31,22742.334063757608,35906.09743646357,0.831917470223263
27,32,22121.6853941222,35323.280391509354,0.8373297166360334
28,33,21986.44850016486,35215.40394131895,0.8383217817270586
29,34,21948.584895409604,35256.21564618784,0.8379468215412007
30,35,21800.90122077594,34653.07805086387,0.843443970182901
31,36,21796.703843786643,34657.010071137185,0.8434084399245678
32,37,21319.854685590282,34192.98024669894,0.8475736407330843
33,38,21797.118545735062,34667.73771567773,0.8433114829983522
34,39,21852.608933949698,34531.597667615475,0.844539696843564
35,40,21802.84361904594,34677.93593639539,0.8432192832057208
36,41,21414.460230512985,34302.565429941584,0.8465950517237607
37,42,21434.618127093516,34197.83774823203,0.847530329862818
38,43,21442.340126666135,34205.10551135441,0.8474655169233085
39,44,21526.80285965708,34095.19214122048,0.8484442387785942
40,45,21414.572474289973,34084.90088466965,0.8485357158305521
41,46,21536.81914027074,34248.03223361618,0.8470824212436004
42,47,21374.574200205552,34034.33325744137,0.8489848007776756
43,48,21515.246582840013,34236.31115118596,0.8471870726772306
44,49,21363.79023839356,34008.83221270839,0.849211019553717
45,50,21476.950334013363,34181.110707070744,0.8476794470521632
46,51,21353.238620639237,33994.873066571534,0.8493347787830118
47,52,21554.31650278919,34304.891180960934,0.8465742489758935
48,53,21317.936238698203,33943.921972874676,0.8497860706600721
49,54,21285.06463525175,34010.60181406521,0.8491953269639245
50,55,21519.531408362498,34331.17097157178,0.846339090614567
51,56,21394.76622008932,34158.51857256772,0.8478807342014798
52,57,21565.386445536293,34207.20133714098,0.8474468240707572
