,K,MAE,RMSE,r2
0,5,25284.80968863046,39979.430124584236,0.7916184018889771
1,6,25289.04283990596,39899.06038932873,0.7924553693088501
2,7,25255.46049736176,39916.48163833527,0.792274088044573
3,8,25257.731645399977,39899.47663208328,0.792451038911164
4,9,24935.833233940382,39568.64464628656,0.7958786110456351
5,10,24774.219519604856,39474.54338115982,0.7968483304281124
6,11,24598.77947065635,38567.90082241862,0.8060730490896018
7,12,24582.946227680943,38562.54277922186,0.8061269279257085
8,13,24619.266061124043,38423.4264081093,0.8075232190834287
9,14,24361.185578478406,38019.64764005235,0.8115473100323549
10,15,24493.428812419188,38115.21936602871,0.8105986749352018
11,16,24544.016310685045,38171.04840610801,0.8100434196584496
12,17,24253.016380970534,38001.10850292931,0.8117310517904318
13,18,24248.16161829863,37977.501171991156,0.8119648948023674
14,19,24234.263072489684,37978.4576368387,0.8119554233401897
15,20,24208.87256706832,37975.32144295364,0.8119864788352317
16,21,23998.077926609494,38012.58981485447,0.8116172708432599
17,22,23998.08887988579,38016.40007666825,0.8115795031722249
18,23,23999.7002587164,38011.80370318595,0.8116250623844828
19,24,23997.686143411196,38016.03991406788,0.811583073299565
20,25,24046.959887916317,38206.14181308629,0.8096939774381555
21,26,24049.958066985808,38286.655220854416,0.8088910525569233
22,27,24017.59479990526,38270.49728992548,0.8090523240790166
23,28,23744.65391710511,37870.85502537591,0.8130194698878404
24,29,23795.228583124433,37864.26272805877,0.8130845607849018
25,30,23975.91246005662,37953.392069887195,0.8122035581406095
26,31,23724.296471587124,37487.92523833792,0.8167816464756871
27,32,23713.29199074801,36945.717711373465,0.8220432846872278
28,33,23765.99637322863,36960.64729902298,0.8218994327147725
29,34,23460.562812842683,36760.178875883015,0.8238261692546097
30,35,23286.118926523806,36840.870505449195,0.8230518881547009
31,36,23282.98772902154,36833.749666313604,0.8231202848701009
32,37,23262.399078702223,36845.59818177494,0.8230064708198795
33,38,23243.149089589795,36790.173558730334,0.8235385518267463
34,39,23257.103866140715,36814.44318290933,0.8233056599864378
35,40,23330.498188473553,37312.098661294775,0.8184962843945665
36,41,23392.49528332334,37313.25802278691,0.8184850048527923
37,42,23450.110248134,37408.678054325195,0.817555452535917
38,43,23420.167021330442,37425.949511528706,0.8173869456129476
39,44,23437.207588084522,37443.9669460196,0.8172110777582209
40,45,23421.096126540306,37407.451191554566,0.8175674193181809
41,46,23515.258393906835,37518.21376672971,0.8164854627790036
42,47,23529.70854556233,37515.67108044434,0.8165103362491514
43,48,23745.886172701466,37744.32744489846,0.8142667970323312
44,49,23740.129654981178,37740.74721390751,0.8143020307363938
45,50,23740.12965498083,37740.74721390716,0.8143020307363973
46,51,23766.387509344157,37754.50501704113,0.8141666194397084
47,52,23768.39820562037,37744.539576189614,0.8142647093048478
48,53,23759.811071423992,37736.64552862345,0.8143423920590716
49,54,23759.81107142451,37736.64552862388,0.8143423920590673
50,55,23744.37615461211,37684.20945536897,0.8148579859686436
51,56,23762.42462803548,37641.68123118533,0.8152756313567822
52,57,23758.366856904784,37633.55686271209,0.8153553624861587
53,58,23325.758966803973,37372.03505034879,0.8179126980941417
54,59,23160.03074118424,37071.52593614522,0.8208292583506338
55,60,23165.15644734585,37000.11027568337,0.8215189128292921
56,61,23181.077706082124,36997.7422677969,0.8215417576853872
