,K,MAE,RMSE,r2
0,5,28976.80349849588,47845.743353800804,0.701549178582161
1,6,28851.726632942515,47516.35658167166,0.705644312665477
2,7,28912.156066953492,47488.70725873449,0.7059867786336556
3,8,27334.932762768658,44680.941148737715,0.7397259975636576
4,9,25371.31466618257,40094.808873389156,0.7904139074180072
5,10,25309.56735572102,40027.6571976211,0.7911153584017081
6,11,25130.55627863975,39042.166512829666,0.8012743233022799
7,12,24832.300271339107,38863.953260812596,0.8030844031583209
8,13,24806.449698201104,38805.94777426717,0.803671768060123
9,14,24535.505470783195,38295.262226277795,0.8088051186655872
10,15,24701.558676514163,38461.67234999222,0.8071398529866897
11,16,24822.626008180705,38575.332630317636,0.8059983047206866
12,17,24467.51989260473,38356.8477587914,0.8081896740437797
13,18,24465.800721437936,38334.58350307547,0.8084122822602641
14,19,24447.325626430185,38335.603377318694,0.8084020879156286
15,20,24509.27243045766,38330.34840494574,0.8084546120779237
16,21,24379.468626184254,38397.18955745002,0.8077859890066628
17,22,24455.595898782278,38499.298703653825,0.8067623252731627
18,23,24457.924686726492,38497.60031701754,0.8067793741574996
19,24,24446.017856874823,38495.8042590972,0.8067974026755009
20,25,24532.381987015513,38652.19060087456,0.8052244718293129
21,26,24467.80371414938,38697.36415763988,0.8047689299907687
22,27,24477.300711282107,38702.256336678794,0.8047195640588938
23,28,24181.043068838397,38179.5966594283,0.8099583301019485
24,29,24181.131942959964,38210.94234469385,0.8096461512286894
25,30,24363.74687992548,38302.5136751314,0.8087327039026103
26,31,24171.587441686934,37678.62320541029,0.8149128722419865
27,32,24170.873258582902,37239.40111231939,0.8192028659870029
28,33,24234.216686240135,37256.029855097324,0.819041364986103
29,34,23987.334293108535,37081.967518549274,0.8207283135157544
30,35,23847.32251762189,37161.65033977301,0.819957037201161
31,36,23854.40900626591,37208.54257090816,0.8195023780144024
32,37,23852.50110833151,37201.76823659744,0.8195680962521876
33,38,23826.74387946782,37149.10811967292,0.820078547272992
34,39,23876.182549939083,37213.18436780311,0.8194573407458834
35,40,23929.284651082038,37749.043292994305,0.8142203824133142
36,41,23971.198661988587,37743.02886752779,0.8142795769545967
37,42,24024.409780720747,37857.0662094511,0.8131556046933324
38,43,23971.483160435077,37860.42275549803,0.8131224706086266
39,44,23980.122651522302,37884.3159387107,0.8128865245914519
40,45,23931.204603961574,37819.66659126622,0.8135245956378861
41,46,24008.438465250903,37907.66187857619,0.8126558388411184
42,47,23993.663517459492,37900.66705562831,0.8127249709516109
43,48,24228.486625553698,38092.787282651494,0.8108215473806465
44,49,24255.71142773729,38100.07144757998,0.8107491904385331
45,50,24255.711427737308,38100.07144758009,0.810749190438532
46,51,24275.70546094767,38110.275499354204,0.8106478056597151
47,52,24270.377883364807,38083.13721929412,0.8109173845690391
48,53,24267.55171506077,38079.8924598886,0.8109496036299014
49,54,24267.551715053174,38079.8924598775,0.8109496036300117
50,55,23744.009073035562,37682.53683783895,0.8148744206987484
51,56,23762.451475025864,37640.923072339305,0.8152830725230198
52,57,23758.32160457414,37632.96033046399,0.8153612160709339
53,58,23323.900135322543,37366.40680912221,0.8179675387838754
54,59,23171.27704364742,37088.79169365314,0.8206623248948303
55,60,23176.31082983078,37012.67360969459,0.821397686260834
56,61,23191.868170553767,37010.379666478875,0.8214198241303694
57,62,23208.36830957645,36994.96060740574,0.8215685912991428
58,63,23190.778572814274,36969.61045922703,0.8218130415071088
